Title;;;Keywords;;;Abstract;;;Type
Channeling: A Non-pathological Possession and Dissociative Identity Experience or Something Else?;;;Experiences Characterization Mental mechanisms Investigation Dissociative Identity Disorder;;;Channeling experiences are often compared with Dissociative Trance/Possession Disorders and Dissociative Identity Disorders and more recent diagnostic criteria presented in the DSM 5 and ICD-11. From this comparison, it emerges quite clearly that, for most cases, channeling can either be considered an exceptional non-ordinary mental experience or a non-pathological Dissociative Trance/Possession experience. If this characterization is valid, the next step is to understand the origin of channeling experiences. Are they an expression of channeler’s unconscious or voluntary mental mechanisms, or real connections with “other discarnate entities”? Given their peculiar characteristics, channeling experiences offer a unique opportunity for a scientific investigation and in particular, the origin of the information received by the channelers.;;;SC
Diagnostic and Statistical Manual of Mental Disorders (DSM-5-TR);;;Disorders Mental health Clinicians Deep study;;;The Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision (DSM-5-TR) features the most current text updates based on scientific literature with contributions from more than 200 subject matter experts. The revised version includes a new diagnosis (prolonged grief disorder), clarifying modifications to the criteria sets for more than 70 disorders, addition of International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM) symptom codes for suicidal behavior and nonsuicidal self-injury, and updates to descriptive text for most disorders based on extensive review of the literature. In addition, DSM-5-TR includes a comprehensive review of the impact of racism and discrimination on the diagnosis and manifestations of mental disorders. The manual will help clinicians and researchers define and classify mental disorders, which can improve diagnoses, treatment, and research.;;;SC
A qualitative exploratory analysis of channeled content;;;Research channelers Trance channeling Channeled content Thematic analysis;;;Throughout history, within numerous multicultural contexts across the globe, channeling has been expressed, practiced, revered and shunned. Broadly defined, channeling is “communication of information to or through a physically embodied human being, from a source that is said to exist on some other level or dimension of reality than the physical as we know it, and that is not from the normal mind…of the channel” (Klimo, 1998, p. 2). Despite its persistence and presence across time, the enigmatic, speculative nature of channeling creates a unique research challenge. Historically, scientific channeling research tends to minimize attention on the actual channeled material, in part due to validation constraints. The focus of this qualitative exploration was to categorize and thematically analyze content channeled during the final segment of a trance channeling study. Recorded over two days, 13 healthy adult trance channels responded to the question, "Do you have any suggestions/messages regarding the current or future channeling experiments?" Transcribed content analysis revealed seven common themes under three categories – Scientific Methodology: (1) Constraints of the current quantitative study, (2) Advancing channeling research; Channeling Processes:(3) 'How-to' of channeling, (4) Experienced processes described from the “non-physical being's” point-of-view; Open-Ended Information: (5) Philosophical – personal to global to universal, (6) Gratitude and Collaborative spirit, and (7) Personal messages for healing/growth. Themes 2 and 6 were the most represented content of messages delivered. This analysis was designed to present the experiences of the channelers, how that might be interpreted and to provide global access to the potentially valuable content.;;;SC
Anomalous information reception by research mediums demonstrated using a novel triple-blind protocol;;;Students Paired Potential identifiable Experienced Ability ;;;The results suggest that certain mediums can anomalously receive accurate information about deceased individuals. The study design effectively eliminates conventional mechanisms as well as telepathy as explanations for the information reception, but the results cannot distinguish among alternative paranormal hypotheses, such as survival of consciousness (the continued existence, separate from the body, of an individual's consciousness or personality after physical death) and super-psi (or super-ESP; retrieval of information via a psychic channel or quantum field).;;;SC
Immortal Remains: The Evidence for Life After Death;;;Superlatives Individual Alternative instead Critical comments Death Life;;;Do you believe in ghosts? Chances are you're either too willing, or not willing enough, to believe that personal consciousness survives after bodily death. Some underestimate the evidence for life after death, not realizing how impressive the most convincing cases are. Others overestimate it, rejecting alternative explanations too readily. In fact, several non-survivalist explanations―hidden or latent linguistic or artistic talents, extreme memory, even psychic abilities―are as interesting as the hypothesis of survival, and may be more plausible than their critics realize. Immortal Remains takes a fresh look at some of the most puzzling cases suggesting life after death, and considers how to tell evidence for an afterlife from evidence for exotic things (including psychic things) done by the living. Author Stephen E. Braude, who has done extensive research in parapsychology and dissociation, explores previously ignored issues about dissociation, creativity, linguistic skills, and the nature and limits of human abilities. He concludes that we have some reason, finally, for believing in life after death.;;;SC
Possession/trance phenomena.;;;Possession Trance Cultures Phenomena Normal;;;The authors delineate their most recent research into possession/trance phenomena in various cultures. They show that possession/trance phenomena are normal in many cultures (including some Western subcultures), but that there are also abnormal forms of possession/trance in those same cultures. The authors argue that pathological forms of possession/ trance phenomena have two features. First, they cause dysfunction or distress and are associated with maladjustment. Second, they occur in a way that is not part of a culturally-accepted practice. The authors propose that both normal and pathological forms of possession/trance phenomena are rooted in a predisposition, probably biological, to dissociate, be suggestible, and/or have unusual experiences. Finally, they emphasize the very important fact that, in non-Western cultures, the most common dissociative disorders involve trance and/or possession.;;;SC
Trance, Functional Psychosis, and Culture.;;;Hypothesis Psychoses Culturally sctructured Reactions Environmental stress;;;This paper discusses the hypothesis that the symptoms of functional psychoses can be caused by culturally structured spontaneous trances that may be reactions to environmental stress and psychological trauma. Findings are reviewed of anthropological studies of meditative trance experiences in Indian yogis characterized by divided consciousness (dissociation), religious auditory and visual hallucinations, and beliefs in their own spiritual powers. An explanation of the psychological mechanisms of meditative trance is also provided, highlighting trance-related alteration of consciousness within an Indian cultural context. It is suggested that the psychological mechanisms of meditative trance are similar in structure to spontaneous trances underlying the symptoms of some functional psychoses. Findings from cross-cultural studies are also reviewed, highlighting the effects of culture on the symptoms, indigenous diagnoses; treatments, and outcomes of functional psychoses. In non-Western cultures, transient functional psychoses with complete recovery are 10 times more common than in Western cultures. It is suggested that egocentrism and a loss of spiritual explanations for psychosis in Western cultures constructs a clinical situation in which persons with functional psychoses are treated for a biogenetic (incurable) brain disease rather than a curable spiritual illness. This difference in cultural belief systems leads to poorer outcomes for Western patients compared to non-Western patients. Recognizing cultural differences in symptoms, indigenous diagnoses, and treatment for functional psychoses can help explain the dramatic cross-cultural differences in outcome. ;;;SC
Electrocortical activity associated with subjective communication with the deceased;;;Communication Physical mediumship Experienced Societies Culture Pathology;;;During advanced meditative practices, unusual perceptions can arise including the sense of receiving information about unknown people who are deceased. As with meditation, this mental state of communication with the deceased involves calming mental chatter and becoming receptive to subtle feelings and sensations. Psychometric and brain electrophysiology data were collected from six individuals who had previously reported accurate information about deceased individuals under double-blind conditions. Each experimental participant performed two tasks with eyes closed. In the first task, the participant was given only the first name of a deceased person and asked 25 questions. After each question, the participant was asked to silently perceive information relevant to the question for 20 s and then respond verbally. Responses were transcribed and then scored for accuracy by individuals who knew the deceased persons. Of the four mediums whose accuracy could be evaluated, three scored significantly above chance (p < 0.03). The correlation between accuracy and brain activity during the 20 s of silent mediumship communication was significant in frontal theta for one participant (p < 0.01). In the second task, participants were asked to experience four mental states for 1 min each: (1) thinking about a known living person, (2) listening to a biography, (3) thinking about an imaginary person, and (4) interacting mentally with a known deceased person. Each mental state was repeated three times. Statistically significant differences at p < 0.01 after correction for multiple comparisons in electrocortical activity among the four conditions were obtained in all six participants, primarily in the gamma band (which might be due to muscular activity). These differences suggest that the impression of communicating with the deceased may be a distinct mental state distinct from ordinary thinking or imagination.;;;SC
Intuitive Assessment of Mortality Based on Facial Characteristics: Behavioral, Electrocortical, and Machine Learning Analyses;;;Person's photograph Categories Stimulus Electrocortical recordings Characteristics Conducted;;;Studies of various characteristics of the human face indicate that it contains a wealth of information about health status. Most studies involve objective measurement of facial features as correlated with historical health information. But some individuals also claim to be adept at intuitively gauging mortality based solely upon a quick glance at a person's photograph. To test this claim, we invited 12 such individuals to see if they could tell if a person was alive or dead based solely on a brief examination of his or her photograph. All photos used in the experiment were transformed into a uniform gray scale and counterbalanced across eight categories as follows: gender, age, gaze direction, glasses, head position, smile, hair color, and image resolution. Participants examined 404 photographs displayed on a computer monitor, one photo at a time, each shown for a maximum of 8seconds. Half of the individuals in the photos were deceased, and half were alive at the time the experiment was conducted. Participants were asked to indicate if they thought the person in a photo was living or deceased by pressing an appropriate button. Overall, mean accuracy on this task was 53.6%, where 50% was expected by chance (P = .005, two tail). Statistically significant accuracy was independently obtained in 5 of the 12 participants. We also collected 32-channel electrocortical recordings and observed a robust difference between images of deceased individuals correctly vs. incorrectly classified in the early event related potential at 100ms post-stimulus onset. We then applied machine learning techniques to classify the photographs based on 11 image characteristics; both random forest and logistic regression machine learning approaches were used, and both classifiers failed to achieve accuracy above chance level. Our results suggest that some individuals can intuitively assess mortality based on some as-yet unknown features of the face.;;;SC
Across Cultural Boundaries: Psychophysiological Responses, Absorption, and Dissociation Comparison Between Brazilian Spiritists and Advanced Meditators;;;Mediumship Channeling psychophysiology Umbanda Kardecismo Candombleâ Ramtha;;;A psychophysiological study was conducted with two Brazilian claimant mediums and a non-medium living in Recife, Brazil and 7 North American advanced meditators from the esoteric school, Ramthaâ€™s School of Enlightenment, located in Yelm, Washington. Results revealed specific incongruence in the peripheral nervous system (PNS) and central autonomic nervous system (CNS). For Brazilians, there was a general reduction of sympathetic PNS vasoconstriction and increased muscle tension (EMG) during the imagined incorporation of spirits, and an increase in (EMG) and alpha wave percentage (EEG); both were paradoxical. Increase in frontal EMG while imagining spirit incorporation is consistent with a hypothesis of increased muscle tension possibly driven by intrusive cognitions and/or affect; however, the mediums reported feeling calm, not agitated. The non-medium control showed a large increase in EEG alpha wave percentage and decreased EMG in the eyes closed conditions. The mediumsâ€™ imagination condition was discrepant from what is typical during an eyes closed imagination condition, and EMG and EEG were positively correlated contrasting research findings from other studies revealing a negative correlation. This supports previous findings that physiological incongruence are frequent outcomes of individuals claiming "mediumistic" abilities; they are described as living episodically in two worlds (i.e., critical, rational, and practical; expansion and deepening of fantasy and emotional reactivity). As such, medium/mediumistic-like practitioners may be "at risk" for psychosomatic illnesses, but these descriptors do not particularly apply to the Brazilian control showing no noticeable incongruence. The advanced Ramtha meditators were not tested with an EEG, but also showed sympathetic activation during the meditation session and reported minimal/none negative affect. Incongruence between CNS and ANS are not unusual among spiritual practitioners, and other studies have noted sympathetic activation during meditation styles that use cognitive faculties and/or accelerated breathing (voluntary hyperventilation) techniques. The findings suggest medium/mediumistic-like practitioners may need to create â€œbuffersâ€ to maintain physical and emotional well being.;;;SC
